证书签发完成,"Certificate Issued"
强制停止失败，请尝试手动停止进程。,"Force stop failed, please try manually stopping the process."
"请尝试使用 -f 参数强制停止或手动停止进程。","Try using the -f parameter to force stop or manually stop the process."
"检测到端口 %{1}:%{2} 被占用，但配置信息为空。","Port %{1}:%{2} is detected as occupied, but the configuration is empty."
检测到的进程ID：%{1},"Detected process ID: %{1}"
检测到的进程ID（%{1}）与配置中的进程ID（%{2}）不一致。,"Detected process ID (%{1}) does not match the configured process ID (%{2})."
正在停止检测到的进程，进程ID：%{1},"Stopping detected process, process ID: %{1}"
"是否要停止此进程？使用 -f 参数直接停止。","Stop this process? Use -f parameter to stop directly."
端口监听进程已停止！进程ID：%{1},"Port listening process has stopped! Process ID: %{1}"
停止端口监听进程失败！进程ID：%{1},"Failed to stop port listening process! Process ID: %{1}"
"Linux/Unix 上可能需要 root 权限：sudo kill -9 %{1}","Root privileges may be required on Linux/Unix: sudo kill -9 %{1}"
"端口 %{1}:%{2} 被占用，但无法确定进程ID。","Port %{1}:%{2} is occupied, but the process ID cannot be determined."
请手动检查端口占用情况。,"Please manually check the port usage."
"未检测到服务器运行（端口 %{1}:%{2} 未被占用）。","No server running detected (port %{1}:%{2} is not occupied)."
"服务器未运行（端口 %{1}:%{2} 未被占用）。","Server is not running (port %{1}:%{2} is not in use)."
服务器停止操作完成！,"Server stop operation completed!"
"停止PHP内置本地WebServer服务。使用 -f 或 --force 参数强制停止。","Stop the PHP built-in local web server service. Use -f or --force to force stop."
"运行模式: 后台运行 (默认)","Run mode: Background (default)"
"运行模式: 前台运行","Run mode: Foreground"
"已停止占用端口 %{1} 的 Weline Server，以便启动 CLI 服务器","Stopped Weline Server occupying port %{1} to start CLI server"
等待端口释放...,"Waiting for port release..."
检测到服务器已在运行中，强制启动模式将先停止现有服务器...,"Detected that the server is already running, force start mode will stop the existing server first..."
现有服务器已成功停止,"Existing server has been stopped successfully"
端口被占用，但检测到的占用进程已不存在，跳过停止。,"Port is in use but the detected process no longer exists; skipping stop."
通过端口检测到进程，正在停止，进程ID：%{1},"Process detected via port, stopping. Process ID: %{1}"
正在停止现有服务器进程，进程ID：%{1},"Stopping existing server process, process ID: %{1}"
占用进程已退出，视为端口已释放，继续启动。,"Occupant process has exited; treating port as released and continuing startup."
停止现有服务器失败，请手动停止后重试,"Failed to stop existing server, please stop manually and retry"
端口被占用但无法确定进程ID，尝试强制清理端口,"Port is occupied but unable to determine process ID, attempting to force clean the port"
检测到服务器已在运行中！进程ID：%{1},"Detected that the server is already running! Process ID: %{1}"
已自动更新配置信息。,"Configuration information has been updated automatically."
服务器已在后台运行,"Server is already running in the background"
检测到端口被占用，但无法获取进程信息,"Port occupation detected, but unable to retrieve process information."
开发专用，请勿用于生产环境。,"For development use only, do not use in production environments."
启用PHP内置本地WebServer服务...,"Enable PHP built-in local WebServer service..."
"⚠️  警告：当前处于生产环境模式（%{1}）！","⚠️ Warning: Currently in production environment mode (%{1})!"
"⚠️  PHP内置服务器仅供开发和测试使用，不适合生产环境！","⚠️ PHP built-in server is for development and testing only, not suitable for production environment!"
"⚠️  生产环境请使用 WLS 常驻内存服务器，不要使用 PHP 内置开发服务器！","⚠️  Use the persistent WLS server in production; do not use PHP's built-in development server!"
"⚠️  继续使用PHP内置服务器可能导致性能问题和安全风险！","⚠️Continuing to use PHP's built-in server may cause performance issues and security risks!"
"是否仍要在生产模式下启动PHP内置服务器？(输入 y/yes 继续，其他任意键取消):","Do you still want to start the PHP built-in server in production mode? (Enter y/yes to continue, any other key to cancel):"
"⚠️  您已选择在生产模式下使用PHP内置服务器，请自行承担风险！","⚠️ You have chosen to use the PHP built-in server in production mode, please do so at your own risk!"
使用proc_open启动后台进程,"Start background process using proc_open"
proc_open不可用，使用传统方式启动后台进程,"proc_open is not available, use legacy method to start background process"
通过端口检测到服务器进程，进程ID：%{1},"Server process detected via port, process ID: %{1}"
服务器已在后台启动成功！,"Server started successfully in the background!"
程序已进入后台运行,"The program has entered background operation."
服务器已在后台启动成功！进程ID：%{1},"Server started successfully in the background! Process ID: %{1}"
程序已进入后台运行，可以关闭终端,"The program has entered background operation, you can close the terminal."
服务器启动成功！进程ID：%{1},"Server started successfully! Process ID: %{1}"
后台启动失败，请检查端口是否被占用,"Backend startup failed, please check if the port is occupied"
服务器进程已结束。若未能正常启动请检查端口是否被占用。,"Server process has ended. If it did not start correctly, check whether the port is in use."
局域网,"Local network"
前端首页,"Frontend Homepage"
前端API,"Frontend API"
后端管理,"Backend Management"
后端API,"Backend API"
"端口 %{1} 仍可连接，但无法确定占用进程（系统返回的 PID 已失效），可能正在释放中…","Port %{1} is still in use but the reported occupant PID is invalid; it may be releasing."
"进程检测异常（端口与 PID 不一致），且端口 %{1} 仍可连接，已中止启动。请先执行 server:kill-php 或 taskkill 后重试。","Process detection anomaly (port and PID mismatch), and port %{1} is still reachable, startup aborted. Please run server:kill-php or taskkill first, then retry."
"端口 %{1} 仍被占用（PID：%{2}），正在停止以便启动 CLI 服务器...","Port %{1} is still in use (PID: %{2}), stopping it to start the CLI server..."
"进程 %{1} 未能成功结束。请手动执行后重试：","Process %{1} could not be terminated. Please run manually then retry:"
"端口 %{1} 被占用但无法获取进程ID，请手动停止后重试","Port %{1} is occupied but the process ID cannot be obtained, please stop it manually and try again"
"端口 %{1} 多次尝试后仍被占用，CLI 可能无法正常监听","Port %{1} is still in use after multiple attempts, CLI may not be able to listen properly"
"若仍无法结束，请以管理员身份运行 CMD 或 PowerShell 后执行上述命令。","If it still does not exit, run CMD or PowerShell as Administrator and run the command above."
"Failed to persist local CA certificate","Failed to persist local CA certificate"
"Failed to persist local CA private key","Failed to persist local CA private key"
"Failed to persist local certificate private key","Failed to persist local certificate private key"
保存私钥文件失败,"Failed to save private key file"
"证书内容格式无效，请上传/粘贴 PEM 证书链","Invalid Certificate Content Format, Please Upload/Paste PEM Certificate Chain"
"私钥内容格式无效，请上传/粘贴 PEM 私钥","Invalid private key content format, please upload/paste a PEM private key"
写入证书文件失败,"Failed to write certificate file"
写入私钥文件失败,"Failed to write private key file"
写入中间证书文件失败,"Failed to write intermediate certificate file"
"证书文件不存在，无法启用 HTTPS","Certificate files not found, cannot enable HTTPS"
证书已过期，请先续签,"Certificate expired, please renew first"
"HTTPS 已禁用，服务器正在重启以使配置生效","HTTPS is disabled, the server is restarting to make the configuration take effect"
"本地域名 %{1} 的证书受保护，跳过清除","The certificate for local domain %{1} is protected, skipping cleanup"
"域名 %{1} 删除 DB 记录失败：%{2}","Failed to delete DB record for domain %{1}: %{2}"
启动锁已释放,"Startup lock released"
"proc_open 不可用。","proc_open is unavailable."
无法启动依赖安装子进程。,"Unable to start the dependency installation subprocess."
"WLS 边缘证书已更新但未配置 reload","WLS edge certificate updated but reload is not configured"
"证书 PEM 已写入，但 wls.edge.reload_command 为空，Nginx 可能仍使用旧证书。请配置 nginx -s reload 或 systemctl reload nginx。","PEM files were written, but wls.edge.reload_command is empty so Nginx may keep the old certificate. Configure nginx -s reload or systemctl reload nginx."
"WLS 边缘 reload 命令被拒绝","WLS edge reload command rejected"
"配置的 wls.edge.reload_command 不在白名单内，已跳过执行。","The configured wls.edge.reload_command is not on the whitelist and was skipped."
"WLS 边缘 reload 失败","WLS edge reload failed"
"证书 PEM 已更新，但边缘 reload 命令失败（exit=%{1}）。Nginx 可能仍使用旧证书。","PEM files were updated, but the edge reload command failed (exit=%{1}). Nginx may keep the old certificate."
"另一个 server:stop 任务正在处理中，请稍后再试。","Another server:stop task is in progress, please try again later."
共享网关路由注销失败：%{1},共享网关路由注销失败：%{1}
"已中止 WLS 停止：请先修复托管 Nginx 停止故障，或显式使用强制停止。","WLS stop was aborted. Repair the managed Nginx stop failure first, or explicitly force the stop."
"启动锁已释放 ✓","Startup lock released ✓"
"实例 [%{1}] 正在被其他 stop 任务处理，已跳过。","Instance [%{1}] is being processed by another stop task, skipped."
地址：,Address:
监听地址：,"Listen address:"
宿主网关清理失败：%{1},宿主网关清理失败：%{1}
当前项目路由和宿主授权已撤销；共享网关保持运行。,当前项目路由和宿主授权已撤销；共享网关保持运行。
撤销当前项目的网关路由与证书目录授权,撤销当前项目的网关路由与证书目录授权
"项目身份已显式轮换：%{1} → %{2}","项目身份已显式轮换：%{1} → %{2}"
"当前项目已授权到 WLS 2.0 宿主网关；宿主凭据已写入项目 var 目录。","当前项目已授权到 WLS 2.0 宿主网关；宿主凭据已写入项目 var 目录。"
"为复制项目显式生成新 UUID；必须配合 --confirm","为复制项目显式生成新 UUID；必须配合 --confirm"
"WLS 已不再支持 independent 拓扑；所有平台请使用 --direct，兼容诊断时可显式使用 --dispatcher。","WLS 已不再支持 independent 拓扑；所有平台请使用 --direct，兼容诊断时可显式使用 --dispatcher。"
"Conflicting WLS topology CLI options: --direct and --dispatcher.","Conflicting WLS topology CLI options: --direct and --dispatcher."
"--no-nginx 只能与 --edge=wls 一起使用。","--no-nginx 只能与 --edge=wls 一起使用。"
"WLS 启动不使用 PHP 内置 CLI 服务器；需要纯 WLS 时请使用 --no-nginx。","WLS startup does not use PHP's built-in CLI server; use --no-nginx for pure WLS."
"检测到 Windows ARM64 上运行 x64 PHP 仿真；WLS 已对后续 PHP 子进程关闭 CLI OPcache 与 JIT，避免已确认的原生访问冲突；请使用原生 ARM64 PHP 恢复字节码缓存。","Detected x64 PHP emulation on Windows ARM64. WLS disabled CLI OPcache and JIT for descendant PHP processes after reproduced native access violations; use native ARM64 PHP to restore bytecode caching."
"Weline Server 不可用：%{1}","Weline Server unavailable: %{1}"
"WLS 不执行 PHP CLI 回退；请修复 WLS 运行时依赖。","WLS does not fall back to the PHP CLI server; fix the WLS runtime dependency."
"Master 启动失败：%{1}","Master 启动失败：%{1}"
"无法启动：实例 [%{1}] 正在被另一个进程启动中","Unable to start: instance [%{1}] is being started by another process"
"锁持有进程 PID：%{1}","Lock holding process PID: %{1}"
请稍后重试，或在交互式终端中确认是否强制启动。,"Please try again later, or confirm in the interactive terminal whether to force start."
是否直接强制启动并终止另一个启动进程？[y/N]:,"Force start and terminate another startup process directly? [y/N]:"
已取消强制启动。请稍后重试，或检查是否有其他终端正在启动服务器,"Force start canceled. Please retry later, or check if another terminal is starting the server"
"正在强制终止另一个启动进程并清理实例 [%{1}] 的启动残留...","Forcefully terminating another startup process and cleaning up startup remnants of instance [%{1}]..."
"已强制接管启动锁，继续启动实例 [%{1}]","Forcibly took over startup lock, continuing to start instance [%{1}]"
"强制清理后仍未获取启动锁，将按用户确认继续启动实例 [%{1}]。","Failed to acquire startup lock after force clean, will proceed to start instance as confirmed by user [%{1}]."
"WLS 2.0 边缘模式解析失败：%{1}","WLS 2.0 边缘模式解析失败：%{1}"
"已为项目分配稳定的宿主协调 loopback 回源端口：%{1}","已为项目分配稳定的宿主协调 loopback 回源端口：%{1}"
"WLS 2.0 网关回源端口分配失败：%{1}","WLS 2.0 网关回源端口分配失败：%{1}"
"WLS 2.0 边缘模式：%{1}（请求：%{2}）","WLS 2.0 边缘模式：%{1}（请求：%{2}）"
"共享网关不可用，已降级纯 WLS：%{1}","共享网关不可用，已降级纯 WLS：%{1}"
"备用入口端口：%{1}；该地址不等价于 80/443，请同步检查防火墙、DNS 或负载均衡。","备用入口端口：%{1}；该地址不等价于 80/443，请同步检查防火墙、DNS 或负载均衡。"
"WLS 运行时依赖检查或显式安装失败：%{1}","WLS runtime dependency validation or explicit installation failed: %{1}"
"Direct 不会静默切换到 Dispatcher；Linux auto 优先验证 reuseport（需要 sockets/SO_REUSEPORT），能力不可用时回退 shared_fd（需要 ext-event 与 POSIX FD/进程原语）；macOS 使用 shared_fd，Nginx 模式的 Windows 使用 worker_ports。也可显式改用 --dispatcher。公网 TLS 与 HTTP 协议由最终边缘模式负责：默认 Nginx，--no-nginx 时为纯 WLS。","Direct never silently switches to Dispatcher. Linux auto validates reuseport first (requires sockets/SO_REUSEPORT) and falls back to shared_fd (requires ext-event and POSIX FD/process primitives); macOS uses shared_fd; Windows with Nginx uses worker_ports. You may explicitly select --dispatcher. The selected edge owns public TLS and HTTP: Nginx by default, or pure WLS with --no-nginx."
"WLS 运行时依赖已按显式请求安装并验证。","WLS runtime dependencies were installed and verified by explicit request."
"正在使用已加载新扩展的 PHP 进程继续启动...","Continuing startup with a PHP process that loads the new extension..."
"依赖安装后的 WLS 重新启动失败，退出码：%{1}","WLS relaunch after dependency installation failed with exit code %{1}."
"使用已保存的实例配置：%{1} (%{2}:%{3})","Using saved instance configuration: %{1} (%{2}:%{3})"
"WLS 公开 Host 规范化失败：%{1}","WLS 公开 Host 规范化失败：%{1}"
"WLS 2.0 备用入口监听地址无效：%{1}","WLS 2.0 备用入口监听地址无效：%{1}"
"Nginx-only 启动必须使用后台 Master，才能在 Worker READY 后完成 Nginx 配置事务与真实协议门禁；请移除 --foreground/--no-daemon。","Nginx-only startup must use a background Master to complete the Nginx configuration transaction and live protocol gates after Worker READY; remove --foreground/--no-daemon."
"Nginx-only 公网端点强制 TLS 1.3；--no-ssl 与 wls.https=false 已停用。","The Nginx-only public endpoint enforces TLS 1.3; --no-ssl and wls.https=false are retired."
新证书未通过完整校验，继续使用上一代有效证书：%{1},新证书未通过完整校验，继续使用上一代有效证书：%{1}
无法激活项目证书代际：%{1},无法激活项目证书代际：%{1}
"项目将先运行 loopback HTTP 回源；网关仅开放精确 ACME challenge，证书激活前普通 HTTPS 路由保持关闭。","项目将先运行 loopback HTTP 回源；网关仅开放精确 ACME challenge，证书激活前普通 HTTPS 路由保持关闭。"
"HTTPS 未启用：%{1}","HTTPS 未启用：%{1}"
"SSL 证书服务返回 HTTP 模式","SSL 证书服务返回 HTTP 模式"
"本次将以 HTTP 运行；如需 HTTPS，请检查 wls.https 配置和证书管理中的域名 HTTPS 开关。","本次将以 HTTP 运行；如需 HTTPS，请检查 wls.https 配置和证书管理中的域名 HTTPS 开关。"
已生成新证书：%{1},"Generated new certificate: %{1}"
使用已有证书：%{1},"Using existing certificate: %{1}"
证书有效期至：%{1},"Certificate valid until: %{1}"
"WLS 运行时解析器未返回完整 RuntimeSelection；已拒绝启动。","WLS 运行时解析器未返回完整 RuntimeSelection；已拒绝启动。"
"WLS 依赖预检与最终 RuntimeSelection 拓扑不一致；已拒绝启动。","WLS 依赖预检与最终 RuntimeSelection 拓扑不一致；已拒绝启动。"
"WLS 边缘适配器无效：%{1}","Invalid WLS edge adapter: %{1}"
"Nginx-only 公网端点要求 TLS 1.3；已拒绝 --no-ssl。","The Nginx-only public endpoint requires TLS 1.3; --no-ssl was refused."
"WLS HTTP 协议配置无效：%{1}","Invalid WLS HTTP protocol configuration: %{1}"
"纯 WLS HTTP/3 不可用；HTTP/3 仅由项目托管 Nginx 提供。","Pure WLS HTTP/3 is unavailable; HTTP/3 is provided only by the project-managed Nginx."
"纯 WLS 协议：HTTP/2（默认）→ HTTP/1.1（自动回退）","Pure WLS protocol: HTTP/2 (default) → HTTP/1.1 (automatic fallback)"
"WLS 回源协议：HTTP/1.1（公网协议协商由 Nginx 负责）","WLS upstream protocol: HTTP/1.1 (Nginx handles public protocol negotiation)"
边缘适配器：%{1},"Edge adapter: %{1}"
"纯 WLS 负责公网 TLS/HTTP；HTTP/3 不启用。","Pure WLS owns public TLS/HTTP; HTTP/3 is disabled."
"WLS 2.0 网关没有返回有效 HTTPS 监听端口。","WLS 2.0 网关没有返回有效 HTTPS 监听端口。"
"WLS 2.0 网关公网 origin 固化失败：%{1}","WLS 2.0 网关公网 origin 固化失败：%{1}"
"宿主级 Weline Gateway 负责公网 TLS/HTTP；本项目只提供 loopback WLS 后端。","宿主级 Weline Gateway 负责公网 TLS/HTTP；本项目只提供 loopback WLS 后端。"
"Nginx 负责公网 TLS/HTTP；WLS 后端固定为回环地址明文 HTTP/1.1。","Nginx handles public TLS/HTTP; the WLS backend is fixed to plaintext HTTP/1.1 on loopback."
"Nginx 默认启动要求 wls.edge.nginx.managed=true；不可用时请显式使用 --no-nginx。","Default Nginx startup requires wls.edge.nginx.managed=true; explicitly use --no-nginx when unavailable."
"Nginx 默认启动要求 wls.edge.nginx.auto_start=true；不可用时请显式使用 --no-nginx。","Default Nginx startup requires wls.edge.nginx.auto_start=true; explicitly use --no-nginx when unavailable."
"项目隔离 Nginx 尚未安装；请先执行 server:nginx:install，或显式使用 --no-nginx 启动纯 WLS。","The project-isolated Nginx is not installed; run server:nginx:install first, or explicitly start pure WLS with --no-nginx."
"Nginx 公网 origin 固化失败：%{1}","Failed to freeze the managed Nginx public origin: %{1}"
"托管 Nginx 正在运行但缺少可验证 owner；请先执行身份审查与显式停止。","Managed Nginx is running but lacks a verifiable owner; inspect its identity and stop it explicitly first."
"托管 Nginx 已绑定实例 %{1}；请先停止该 owner，再启动实例 %{2}。","Managed Nginx is already bound to instance %{1}; stop that owner before starting instance %{2}."
"端口 %{1} 已被 Weline Server 实例 [%{2}] 占用！","Port %{1} is already in use by Weline Server instance [%{2}]!"
解决方案：,Solution:
"1. 使用 -p 参数指定其他端口启动新实例：","1. Start a new instance using the -p parameter to specify a different port:"
"2. 或先停止实例 [%{1}]：","2. Or stop the instance first [%{1}]:"
"3. 查看所有运行中的实例：","3. View all running instances:"
"端口 %{1} 已被其他项目的 Weline Server 占用（项目作用域：%{2}）","Port %{1} is already in use by another project's Weline Server (project scope: %{2})"
"1. 该端口属于不同 BP 目录下的项目实例，与本项目相互隔离，请直接换一个端口启动：","1. The port belongs to a Weline instance from a different project directory, isolated from this project. Please use a different port:"
"2. 查看占用进程：","2. Inspect the occupying process:"
"3. 或前往实际项目目录处理：","3. Or go to that project's directory to manage it:"
"端口 %{1} 已被 PHP 内置服务器占用，正在停止...","Port %{1} is already in use by the PHP built-in server, stopping it..."
"WLS 编译运行时预检失败：%{1}","WLS 编译运行时预检失败：%{1}"
"WLS 运行时策略不支持当前拓扑：%{1}","WLS 运行时策略不支持当前拓扑：%{1}"
"Direct 不会静默忽略关键策略；请修复策略能力，或显式使用 --dispatcher。","Direct 不会静默忽略关键策略；请修复策略能力，或显式使用 --dispatcher。"
"检测到旧实例仅残留 HTTP Redirect 子进程，先执行本地快速清场...","Detected that only the HTTP Redirect child process remains from the old instance, performing local quick cleanup first..."
"检测到服务器已运行，-f 强制完整重启：先停止实例再启动...","Detected that the server is already running; -f force full restart: stop the instance first, then start it..."
"注意：-f 强制切换属于停机型更新，不会自动等待请求排空；如需对外升级，请先确认维护模式已开启。滚动模式不需要。","Note: -f force switch is a downtime update and will not automatically wait for request draining; for external upgrades, please confirm maintenance mode is enabled first. Rolling mode does not require this."
"检测到服务器已运行，平滑重启：先开启维护模式并等待全部 Worker 请求排空...","检测到服务器已运行，平滑重启：先开启维护模式并等待全部 Worker 请求排空..."
"全部 READY Worker 已完成维护门禁与请求排水，开始切换...","全部 READY Worker 已完成维护门禁与请求排水，开始切换..."
"Worker基础端口: %{1}","Worker base port: %{1}"
"共享状态运行时: %{1}","Shared State Runtime: %{1}"
"共享状态运行时解析失败: %{1}","Shared State Runtime Parse Failed: %{1}"
"强制重启后主端口 %{1} 仍被占用，已中止启动，避免同名实例切换到新端口。","Main port %{1} is still occupied after force restart, startup aborted to prevent same-name instance from switching to a new port."
请先确认旧实例已完全停止，再重新执行启动命令。,"Please confirm the old instance has fully stopped before re-executing the start command."
"强制重启后主端口 %{1} 仍被占用，启动已中止。","强制重启后主端口 %{1} 仍被占用，启动已中止。"
"默认端口 %{1} 被占用（可能被宝塔/nginx 等 web 服务占用），已降级到 %{2}","Default port %{1} occupied (likely by BT Panel/nginx), downgraded to %{2}"
"主端口 %{1} 处于异常占用状态（系统返回的 PID 已失效），已自动切换到 %{2}","The main port %{1} is in an abnormally occupied state (the PID returned by the system has expired) and has been automatically switched to %{2}"
自动切换仅对未显式指定端口的异常占用生效；启动成功后会记住新端口,"Auto-switching only applies to abnormal port usage without explicit port specification; the new port will be remembered after successful startup"
"主端口 %{1} 处于异常占用状态（系统返回的 PID 已失效）","The main port %{1} is in an abnormally occupied state (the PID returned by the system has expired)"
"主端口 %{1} 被非框架进程占用","The main port %{1} is occupied by a non-framework process"
主端口是业务入口，不会自动切换以避免服务地址变化,"The main port is the business entrance and will not be automatically switched to avoid service address changes."
"1. 手动停止占用端口 %{1} 的进程","1. Manually stop the process occupying port %{1}"
"2. 或使用 -p 参数显式指定其他端口：","2. Or use the -p parameter to explicitly specify other ports:"
"3. 查看端口占用：","3. View port occupancy:"
"无法分配 Worker 端口：全局端口分配锁正被其他启动流程占用","Unable to allocate Worker port: Global port allocation lock is held by another startup process"
请稍后重试，或等待其他实例启动完成,"Please try again later, or wait for other instances to finish starting"
"强制重启前仍检测到旧实例 [%{1}] 的残留 WLS 进程或端口，已中止启动。","Old instance [%{1}] residual WLS process or port detected before force restart, startup aborted."
"必须先完成旧实例清理，禁止自动切换主端口或 Worker 端口启动第二个同名实例。","Must complete cleanup of the old instance first. Starting a second instance with the same name by automatically switching the primary port or Worker port is prohibited."
"旧实例 [%{1}] 仍有残留 WLS 进程或端口，启动已中止。","旧实例 [%{1}] 仍有残留 WLS 进程或端口，启动已中止。"
"Worker 端口段 %{1}-%{2} 存在端口冲突或系统预留，自动切换到 %{3}-%{4}","Worker port segment %{1}-%{2} There is a port conflict or system reservation, automatically switch to %{3}-%{4}"
"HTTP 重定向端口 %{1} 处于异常占用状态（系统返回的 PID 已失效）","HTTP redirection port %{1} In an abnormally occupied state (the PID returned by the system has expired)"
"HTTP 重定向端口 %{1} 被非框架进程占用","HTTP redirect port %{1} is occupied by a non-framework process"
占用进程：%{1},"Occupied Process: %{1}"
PID：%{1},PID：%{1}
命令行：%{1},"Command line: %{1}"
"WLS 不会操作未知端口 owner；本次仅禁用可选的 HTTP→HTTPS 重定向监听。","WLS 不会操作未知端口 owner；本次仅禁用可选的 HTTP→HTTPS 重定向监听。"
"提示：当前为 Nginx 直连模式，Worker 独立监听回环端口 %{1}-%{2}。","提示：当前为 Nginx 直连模式，Worker 独立监听回环端口 %{1}-%{2}。"
"Master 共享监听 FD","Master 共享监听 FD"
"提示：当前为 %{1} 直连模式，多 Worker 共用同一端口 %{2}。","提示：当前为 %{1} 直连模式，多 Worker 共用同一端口 %{2}。"
维护状态已恢复到重启前配置（端口检查未通过）。,"The pre-restart maintenance state has been restored because the port check failed."
"HTTP Redirect 端口 %{1} 已被实例 [%{2}] 占用: %{3}","HTTP Redirect port %{1} Already occupied by instance [%{2}]: %{3}"
"请先停止实例 [%{1}]，或改用非 443 主端口启动。","Please stop the instance [%{1}] first, or start using a non-443 main port."
"HTTP Redirect port %{1} is occupied by %{2}","HTTP Redirect port %{1} is occupied by %{2}"
"HTTP Redirect port %{1} could not be released; HTTP to HTTPS redirect will be disabled.","HTTP Redirect port %{1} could not be released; HTTP to HTTPS redirect will be disabled."
"Tip: start on a non-443 main port to run without a dedicated HTTP redirect worker.","Tip: start on a non-443 main port to run without a dedicated HTTP redirect worker."
"HTTP Redirect 端口 %{1} 被占用: %{2}","HTTP Redirect port %{1} is occupied: %{2}"
是否强制停用该进程以释放端口？[y/N]:,"Force stop the process to release the port? [y/N]:"
"已取消。HTTP Redirect 端口 %{1} 无法使用，将不启用 HTTP→HTTPS 重定向。","Canceled. HTTP Redirect port %{1} is unavailable, HTTP→HTTPS redirect will not be enabled."
"提示：可改用非 443 主端口启动（将不启用独立 HTTP 重定向 Worker）","Tip: You can start with a non-443 main port (the independent HTTP redirect Worker will not be enabled)."
"正在强制停用占用端口 %{1} 的进程...","Forcefully stopping the process occupying port %{1}..."
"端口 %{1} 已释放，HTTP Redirect 将正常启动","Port %{1} has been released, HTTP Redirect will start normally"
"无法释放端口 %{1}，HTTP Redirect 将不启用","Unable to release port %{1}, HTTP Redirect will not be enabled"
"WLS 启动策略激活失败：%{1}","WLS 启动策略激活失败：%{1}"
"Master 进程启动中，将管理所有 Worker 和 Dispatcher...","Master process is starting and will manage all Workers and Dispatchers..."
"新 Master 未在预期时间内就绪，已回滚到重启前的维护态，禁止在启动失败后污染持久配置。","The new Master was not ready in time. The pre-restart maintenance state was restored so a failed startup cannot pollute persistent configuration."
已恢复重启前的维护模式（保持开启）。,"The pre-restart maintenance state has been restored and remains enabled."
已清理残留维护态，恢复业务流量模式。,"Cleaned residual maintenance state, restored business traffic mode."
维护模式已关闭。,"Maintenance mode is off."
恢复重启前维护态失败：%{1},"Failed to restore the pre-restart maintenance state: %{1}"
"恢复重启前维护态失败，请检查 app/etc/env.php 写入权限。","Failed to restore the pre-restart maintenance state. Check write permissions for app/etc/env.php."
"检测到 Windows 系统代理 %{1} 已启用，浏览器访问 %{2} 可能被代理截流并报 ERR_CONNECTION_CLOSED","Detected that Windows system proxy %{1} is enabled. Browser access to %{2} may be intercepted by the proxy and report ERR_CONNECTION_CLOSED."
"建议将 %{1} 加入系统代理绕过名单（ProxyOverride）后再访问本地 WLS 域名","Suggestion: Add %{1} to the system proxy bypass list (ProxyOverride) before accessing the local WLS domain"
"启动已阻止：当前监听地址为 %{1}，且无法确定默认项目域名白名单。","Startup blocked: The current listening address is %{1}, and the default project domain whitelist cannot be determined."
"请配置 app/etc/env.php -> wls.servers.%{1}.host（推荐）或 wls.host（非 0.0.0.0）。","Please configure app/etc/env.php -> wls.servers.%{1}.host (recommended) or wls.host (not 0.0.0.0)."
后台域名池域名不需要写入此处。,"Backend domain pool domains do not need to be written here."
如果默认内网访问可忽略该提示。,"If the default intranet access works, you can ignore this prompt."
"WLS Master 进程创建失败：%{1}","WLS Master 进程创建失败：%{1}"
"Master 已启动，等待所有服务就绪...","Master started, waiting for all services to be ready..."
"服务器已在后台运行（Master PID: %{1}, 控制端口: %{2}）","Server is already running in the background (Master PID: %{1}, Control Port: %{2})"
"纯 WLS Worker 已就绪；TLS/HTTP 由 WLS 直接提供。","Pure WLS Workers are ready; WLS provides TLS/HTTP directly."
"WLS Worker 已 READY，但托管 Nginx 未通过公网协议门禁；默认 Nginx 启动失败，将回收本次实例。","WLS Workers are READY, but managed Nginx failed the public protocol gates; default Nginx startup failed and this instance will be reclaimed."
"WLS 与宿主级 WLS 2.0 Gateway 均已就绪，启动完成。","WLS 与宿主级 WLS 2.0 Gateway 均已就绪，启动完成。"
"WLS 与项目托管 Nginx 均已就绪，启动完成。","WLS 与项目托管 Nginx 均已就绪，启动完成。"
"Master 已运行，但未在 %{1} 秒内等到所有服务 READY（当前阶段：%{2}）。","Master 已运行，但未在 %{1} 秒内等到所有服务 READY（当前阶段：%{2}）。"
启动失败原因：%{1},启动失败原因：%{1}
"WLS Master 控制面启动失败。","WLS Master 控制面启动失败。"
日志目录：%{1},"Log directory: %{1}"
启动准备,"Start preparation"
启动服务,"Start service"
"Master 已退出","Master 已退出"
╔══════════════════════════════════════════════════════════════════════════════╗,╔══════════════════════════════════════════════════════════════════════════════╗
╚══════════════════════════════════════════════════════════════════════════════╝,╚══════════════════════════════════════════════════════════════════════════════╝
"Master PID: %{1}","Master PID: %{1}"
"HTTP 重定向: 端口 %{1} → HTTPS（不计入 Worker 数）","HTTP redirection: Port %{1} → HTTPS (not counted in the number of workers)"
"健康检查间隔: 5 秒","Health check interval: 5 seconds"
"按 Ctrl+C 停止服务","Press Ctrl+C to stop the service"
服务器启动失败,"Server startup failed"
"1. 停止占用端口的进程","1. Stop the process occupying the port"
"2. 或改用非 443 主端口启动（将不启用独立 HTTP 重定向 Worker）","2. Or start using a non-443 main port (independent HTTP redirection Worker will not be enabled)"
"WLS 启动失败后释放共享服务 consumer token 异常：%{1}","WLS 启动失败后释放共享服务 consumer token 异常：%{1}"
"实例 [%{1}] 已创建共享 %{2}: %{3} (port=%{4}, pid=%{5}, process=%{6})","Instance [%{1}] created shared %{2}: %{3} (port=%{4}, pid=%{5}, process=%{6})"
