主题通知事件,"थीम अधिसूचना इवेंट"
未找到任何主题,"कोई थीम नहीं मिली"
请选择要检查的主题：,"कृपया जांचने के लिए विषय चुनें:"
"请输入序号（输入 0 取消）","क्रम संख्या दर्ज करें (रद्द करने के लिए 0)"
"=== 注册主题到数据库 ===","=== डेटाबेस में थीम पंजीकृत करें ==="
"请先创建 register.php 文件","कृपया पहले register.php फ़ाइल बनाएँ"
未激活,"सक्रिय नहीं"
"主题 %{1} 已经注册到数据库","थीम %{1} डेटाबेस में पहले से पंजीकृत है।"
当前状态：%{1},"वर्तमान स्थिति: %{1}"
是否重新注册（更新）？(y/n，默认：n),"पुनः पंजीकृत (अपडेट)? (y/n, डिफ़ॉल्ट: n)"
正在注册主题：%{1},"थीम पंजीकृत करना: %{1}"
"主题 %{1} 注册成功！","थीम %{1} सफलतापूर्वक पंजीकृत!"
主题状态：%{1},"थीम स्थिति: %{1}"
主题路径：%{1},"थीम पथ: %{1}"
"主题注册可能未完成，请检查 register.php 文件","थीम पंजीकरण अधूरा हो सकता है। register.php जाँचें।"
注册主题时出错：%{1},"विषय पंजीकरण त्रुटि: %{1}"
"=== 卸载主题 ===","=== थीम को अनइंस्टॉल करें ==="
"主题 %{1} 未在数据库中注册","थीम %{1} डेटाबेस में पंजीकृत नहीं है।"
主题名称：%{1},"थीम नाम: %{1}"
警告：当前主题处于激活状态，卸载后系统将没有激活的主题！,"चेतावनी: वर्तमान थीम सक्रिय है। अनइंस्टॉल करने पर सिस्टम में कोई सक्रिय थीम नहीं रहेगी!"
"确认要卸载主题 %{1} 吗？(y/n，默认：n)","क्या आप थीम %{1} अनइंस्टॉल करना चाहते हैं? (y/n, डिफ़ॉल्ट: n)"
注意：此操作只会从数据库移除主题记录，不会删除主题文件,"नोट: यह ऑपरेशन केवल डेटाबेस से थीम रिकॉर्ड हटाएगा, थीम फ़ाइलें नहीं हटाएगा"
卸载前将自动备份主题文件,"अनइंस्टॉल से पहले थीम फ़ाइलों का स्वतः बैकअप लिया जाएगा।"
"步骤 1/2：正在备份主题文件...","चरण 1/2: थीम फ़ाइलें बैकअप हो रही हैं..."
主题备份成功,"थीम का बैकअप सफलतापूर्वक हो गया"
备份路径：%{1},"बैकअप पथ: %{1}"
主题备份失败：%{1},"थीम बैकअप विफल: %{1}"
"步骤 2/2：正在卸载主题：%{1}","चरण 2/2: थीम अनइंस्टॉल हो रही: %{1}"
"主题 %{1} 卸载成功！","थीम %{1} सफलतापूर्वक अनइंस्टॉल!"
主题文件仍然保留在：%{1},"थीम फ़ाइलें अभी भी यहाँ हैं: %{1}"
备份文件已保存到：%{1},"बैकअप फ़ाइल यहाँ सहेजी: %{1}"
"如需重新注册，请使用选项 9：注册主题到数据库","पुनः पंजीकरण हेतु विकल्प 9 उपयोग करें: थीम को डेटाबेस में पंजीकृत करें।"
主题卸载失败,"थीम अनइंस्टॉल विफल"
卸载主题时出错：%{1},"थीम अनइंस्टॉल त्रुटि: %{1}"
主题目录不存在，跳过备份：%{1},"थीम निर्देशिका मौजूद नहीं, बैकअप छोड़ रहे: %{1}"
备份文件大小：%{1},"बैकअप फ़ाइल का आकार: %{1}"
备份文件创建失败,"बैकअप फ़ाइल बनाने में विफल।"
备份主题时出错：%{1},"थीम बैकअप में त्रुटि: %{1}"
"=== 重装主题 ===","=== थीम को फिर से इंस्टॉल करें ==="
主题当前状态：已注册，%{1},"थीम वर्तमान स्थिति: पंजीकृत, %{1}"
主题当前状态：未注册,"थीम वर्तमान स्थिति: अपंजीकृत"
重装操作将：,"पुनर्स्थापना संचालन करेगा:"
"1. 从数据库卸载主题（如果已注册）","1. डेटाबेस से थीम अनइंस्टॉल करें (यदि पंजीकृत)"
"2. 重新注册主题到数据库","2. थीम को डेटाबेस में पुनः पंजीकृत करें"
注意：重装后主题将变为未激活状态，需要手动激活,"ध्यान दें: पुनर्स्थापना के बाद, थीम निष्क्रिय हो जाएगी और इसे मैन्युअल रूप से सक्रिय किया जाना चाहिए"
"确认要重装主题 %{1} 吗？(y/n，默认：n)","क्या आप थीम %{1} पुनः इंस्टॉल करना चाहते हैं? (y/n, डिफ़ॉल्ट: n)"
"步骤 1/2：正在卸载主题...","चरण 1/2: विषय अनइंस्टॉल किया जा रहा है..."
主题卸载成功,"थीम सफलतापूर्वक अनइंस्टॉल"
主题卸载可能失败，但将继续尝试重新注册,"थीम अनइंस्टॉलेशन असफल हो सकता है, लेकिन पुनः पंजीकरण का प्रयास जारी रहेगा।"
"步骤 %{1}/2：正在重新注册主题...","चरण %{1}/2: थीम पुनः पंजीकृत हो रही है..."
"主题 %{1} 重装成功！","थीम %{1} सफलतापूर्वक पुनः इंस्टॉल!"
提示：主题已重装，但当前为未激活状态,"नोट: थीम पुनः इंस्टॉल हो चुकी है, पर वर्तमान में सक्रिय नहीं है।"
"主题重装失败，请检查 register.php 文件","थीम पुनः इंस्टॉल विफल। कृपया register.php फ़ाइल जाँचें।"
重装主题时出错：%{1},"थीम पुनर्स्थापना त्रुटि: %{1}"
系统未安装任何主题！,"सिस्टम में कोई थीम इंस्टॉल नहीं है!"
【已激活】,【सक्रिय】
查看主题列表,"थीम सूची देखें"
收集,"एकत्र करें"
主题文件...,"थीम फ़ाइलें..."
开始搬迁文件...,"फ़ाइल माइग्रेशन शुरू..."
"设置了 -t 参数，但却没有-t参数值！","-t पैरामीटर सेट था, लेकिन कोई -t पैरामीटर मान प्रदान नहीं!"
无法创建主题静态资源目录：,"थीम स्थैतिक संसाधन निर्देशिका बनाने में विफल:"
无法发布主题静态资源：,"थीम स्थैतिक संसाधन प्रकाशित करने में विफल:"
更新主题文件！,"थीम फ़ाइलें अपडेट की जा रही हैं!"
无法解析主题静态资源命名空间。,"थीम स्थैतिक संसाधन नेमस्पेस पार्स करने में विफल।"
主题文件不在允许的主题目录内：,"अनुमत थीम निर्देशिका में थीम फ़ाइल नहीं मिली:"
"=== 批量生成主题预览图 ===","=== बैच में थीम पूर्वावलोकन छवियाँ जनरेट करें ==="
"并发数量: %{1}","समवर्ती गणना: %{1}"
系统中没有已安装的主题,"सिस्टम में कोई भी थीम स्थापित नहीं है।"
没有需要生成的任务,"जनरेट करने हेतु कोई कार्य नहीं"
"找到 %{1} 个主题，%{2} 个任务，开始并发生成预览图...","%{1} थीम मिलीं, %{2} कार्य। समवर्ती पूर्वावलोकन छवि निर्माण शुरू हो रहा है..."
"保存预览图路径失败: %{1}","पूर्वावलोकन छवि पथ सहेजने में विफल: %{1}"
"=== 生成完成 ===","=== निर्माण पूरा ==="
"耗时: %{1}秒 | 成功: %{2} | 失败: %{3}","समय लगा: %{1} सेकंड | सफल: %{2} | विफल: %{3}"
失败详情：,"विफलता विवरण:"
"主题ID: %{1} [%{2}]: %{3}","थीम ID: %{1} [%{2}]: %{3}"
提示：请在后台主题列表页面刷新浏览器页面以查看新生成的预览图,"नोट: नई पूर्वावलोकन छवि देखने हेतु बैकएंड थीम सूची पृष्ठ पर ब्राउज़र पृष्ठ रिफ़्रेश करें।"
批量生成所有主题的预览图,"सभी थीम के लिए बैच में पूर्वावलोकन छवियाँ जनरेट करें"
当前主题:,"वर्तमान थीम:"
安装状态:已安装！,"इंस्टॉलेशन स्थिति: इंस्टॉल!"
激活状态:,"सक्रियण स्थिति:"
正在卸载主题...,"थीम को अनइंस्टॉल किया जा रहा है..."
正在压缩备份文件...,"बैकअप फ़ाइल संपीड़ित हो रही है..."
当前主题未安装：卸载失败！,"वर्तमान थीम इंस्टॉल नहीं: अनइंस्टॉल विफल!"
卸载主题,"थीम अनइंस्टॉल करें"
"已合编 theme=%{id} area=%{area} hash=%{hash} empty=%{empty}","मर्ज थीम: id=%{id}, area=%{area}, hash=%{hash}, empty=%{empty}"
"主题整盘合编结束，共 %{n} 次","थीम संकलन पूर्ण, %{n} आइटम"
当前主题未安装：激活失败！,"वर्तमान थीम इंस्टॉल नहीं: सक्रियण विफल!"
"theme:active 区域参数无效，可选 frontend、backend、global","थीम: सक्रिय क्षेत्र पैरामीटर अमान्य है, विकल्प हैं फ्रंटएंड, बैकएंड, ग्लोबल"
无需再次激活,"पुन: सक्रिय करने की आवश्यकता नहीं"
正在激活...,"सक्रिय हो रहा है..."
已成功激活主题：,"थीम सफलतापूर्वक सक्रिय:"
"theme:active 前台：%{1}","theme:active फ्रंटएंड: %{1}"
"theme:active 后台：%{1}","theme:active बैकएंड: %{1}"
"theme:active 全局 is_active：%{1}","theme:active वैश्विक: %{1}"
"Weline UI bundle 声明无效","Weline UI bundle घोषणा अमान्य है।"
"Weline UI bundle 输出路径无效或重复：%{1}","Weline UI bundle आउटपुट पथ अमान्य या डुप्लिकेट: %{1}"
"Weline UI ES Module 依赖存在循环：%{1}","Weline UI ES Module निर्भरता में चक्रीय संदर्भ: %{1}"
"Weline UI bundle 不存在：%{1}","Weline UI bundle मौजूद नहीं: %{1}"
"Weline UI ES Module 依赖版本化失败：%{1}","Weline UI ES Module निर्भरता संस्करणीकरण विफल: %{1}"
"Weline UI bundle %{1} 缺少有效源文件","Weline UI bundle %{1} में मान्य स्रोत फ़ाइलें अनुपस्थित।"
"Weline UI bundle %{1} 包含无效或重复源文件","Weline UI bundle %{1} में अमान्य या डुप्लिकेट स्रोत फ़ाइलें हैं।"
"Weline UI 源文件不存在：%{1}","Weline UI स्रोत फ़ाइल मौजूद नहीं है: %{1}"
"无法创建 Weline UI 输出目录：%{1}","Weline UI आउटपुट निर्देशिका बनाने में विफल: %{1}"
"无法写入 Weline UI 编译产物：%{1}","Weline UI संकलित आउटपुट लिखने में विफल: %{1}"
不存在的编译资源类型：%{1}，支持的资源类型：%{2},"अमान्य संकलन संसाधन प्रकार: %{1}, समर्थित संसाधन प्रकार: %{2}"
开始编译器工作。,"कंपाइलर प्रक्रिया शुरू।"
编译中...,"संकलन जारी है..."
编译器工作已完成。,"कंपाइलर कार्य पूरा हुआ।"
编译less静态资源！,"Less स्थिर संसाधन संकलित करें!"
静态文件：weline.modules.js编译文件！,"स्टैटिक फ़ाइलें: weline.modules.js संकलित फ़ाइल!"
"编译 Weline UI 2.0 静态资源包！","Weline UI 2.0 स्टैटिक रिसोर्स पैकेज संकलित करें!"
编译主题资源（less、weline.modules.js等）,"थीम संसाधन संकलित करें (less, weline.modules.js आदि)"
告诉我们你需要什么，支持团队会将请求分派给合适的处理人。,"बताएँ आपको क्या चाहिए—सपोर्ट टीम अनुरोध सही हैंडलर को भेज देगी।"
"周一至周五，9:00 - 18:00","सोमवार से शुक्रवार, 9:00 - 18:00"
客户支持,"ग्राहक सहायता"
发送邮件,"ईमेल भेजें"
查看我的账户,"मेरा खाता देखें"
需要订单支持？,"ऑर्डर सहायता चाहिए?"
请附上订单号、邮箱和简短问题描述，方便团队快速分派处理。,"ऑर्डर नंबर, ईमेल और संक्षिप्त समस्या विवरण शामिल करें ताकि टीम जल्दी असाइन कर सके।"
进入支持中心,"सपोर्ट केंद्र में जाएँ"
联系方式,"संपर्क जानकारी"
邮箱,ईमेल
电话,फ़ोन
服务时间,"सेवा समय"
提交前请确认,"सबमिट करने से पहले पुष्टि करें"
订单问题,"ऑर्डर समस्याएँ"
请提供订单号和下单时使用的邮箱。,"ऑर्डर नंबर और ऑर्डर करते समय प्रयुक्त ईमेल दें।"
退换货,"वापसी और अदला-बदली"
商品照片和物流信息可以帮助团队更快处理退换货请求。,"उत्पाद फ़ोटो और लॉजिस्टिक्स जानकारी टीम को वापसी/अदला-बदली जल्दी प्रोसेस करने में मदद करती है।"
发送消息,"संदेश भेजें"
请尽量提供完整背景，减少客服再次确认基础信息的等待时间。,"जितना संभव हो पूरा संदर्भ दें—बेसिक जानकारी दोबारा पूछने का इंतज़ार घटे।"
姓名,नाम
消息内容,"संदेश सामग्री"
提交请求,"अनुरोध जमा करें"
为全球购物者提供可靠、便捷的在线购物体验。,为全球购物者提供可靠、便捷的在线购物体验。
欢迎使用本网站服务。在使用本网站提供的服务前，请您仔细阅读本服务条款。使用本网站即表示您已充分理解并同意接受本条款的全部内容。,"हमारी वेबसाइट में आपका स्वागत है। सेवा उपयोग से पहले सेवा की शर्तें ध्यान से पढ़ें। उपयोग करके आप स्वीकार करते हैं कि आपने सभी शर्तें पूरी समझ लीं और सहमत हैं।"
一、服务说明,"1. सेवा विवरण"
二、用户账户,"2. उपयोगकर्ता खाते"
三、使用规范,"3. स्वीकार्य उपयोग"
四、商品与交易,"4. उत्पाद और लेनदेन"
五、知识产权,"5. बौद्धिक संपदा"
六、免责声明,"6. अस्वीकरण"
七、争议解决,"7. विवाद समाधान"
八、其他,"8. अन्य"
最后更新：,"अंतिम अपडेट:"
条款目录,"विषय सूची"
服务条款正文,"सेवा शर्तों का मुख्य भाग"
本服务条款构成您与本网站之间关于使用网站服务的协议。请完整阅读各章节；如有疑问，可通过帮助中心或联系方式与我们沟通。,本服务条款构成您与本网站之间关于使用网站服务的协议。请完整阅读各章节；如有疑问，可通过帮助中心或联系方式与我们沟通。
"1.1 本网站提供的服务包括但不限于：商品展示、在线交易、订单管理、客户服务、信息发布等。","1.1 इस वेबसाइट द्वारा प्रदान की जाने वाली सेवाओं में शामिल हैं, लेकिन यह इन्हीं तक सीमित नहीं है: उत्पाद प्रदर्शन, ऑनलाइन लेनदेन, ऑर्डर प्रबंधन, ग्राहक सेवा, सूचना प्रकाशन आदि।"
"1.2 我们有权根据业务发展需要，调整、变更或终止部分或全部服务，无需事先通知您。","1.2 हम व्यावसायिक विकास आवश्यकताओं के अनुसार सभी या आंशिक सेवाएँ समायोजित, संशोधित या समाप्त करने का अधिकार सुरक्षित रखते हैं, बिना पूर्व सूचना।"
"1.3 您理解并同意，本网站可能因系统维护、升级等原因暂停服务，我们将尽力减少对您的影响。","1.3 आप समझते और सहमत हैं कि यह वेबसाइट सिस्टम रखरखाव, अपग्रेड आदि के कारण सेवाएँ निलंबित कर सकती है। हम प्रभाव न्यूनतम रखने का प्रयास करेंगे।"
"2.1 您需要注册账户才能使用本网站的某些服务。注册时，您应提供真实、准确、完整的个人信息。","2.1 इस वेबसाइट की कुछ सेवाओं हेतु खाता पंजीकरण आवश्यक। पंजीकरण करते समय सटीक, पूर्ण और सत्य व्यक्तिगत जानकारी दें।"
"2.2 您有责任妥善保管账户信息，不得将账户出借、转让或授权他人使用。因您保管不当导致的损失，由您自行承担。","2.2 आप अपने खाता जानकारी की उचित सुरक्षा के लिए ज़िम्मेदार हैं; खाता उधार/स्थानांतरण/अन्यों को अधिकृत न करें। अनुचित रखरखाव से नुकसान आपकी ज़िम्मेदारी।"
"2.3 如发现账户被盗用或存在安全风险，您应立即通知我们，我们将协助您采取相应措施。","2.3 यदि आपका खाता समझौता हो या सुरक्षा जोखिम हो, तो तुरंत हमें सूचित करें; हम उपयुक्त उपायों में सहायता करेंगे।"
"3.1 您在使用本网站服务时，应遵守相关法律法规，不得利用本网站从事违法违规活动。","3.1 इस वेबसाइट की सेवाएँ उपयोग करते समय प्रासंगिक कानूनों और विनियमों का पालन करें; अवैध या गैरकानूनी गतिविधियों हेतु उपयोग न करें।"
"3.2 您不得从事以下行为：","3.2 आप निम्नलिखित गतिविधियों में संलग्न नहीं होंगे:"
（1）发布违法、虚假、侵权、骚扰、威胁、诽谤、色情、暴力等不当内容；,"(1) अनुचित सामग्री प्रकाशित करना, जिसमें अवैध, झूठी, उल्लंघनकारी, उत्पीड़न, धमकी, मानहानिकारक, अश्लील या हिंसक सामग्री शामिल।"
（2）侵犯他人知识产权、隐私权、名誉权等合法权益；,"दूसरों के बौद्धिक संपदा अधिकार, गोपनीयता अधिकार, प्रतिष्ठा अधिकार या अन्य वैध अधिकारों का उल्लंघन।"
（3）干扰、破坏本网站的正常运行或安全；,"इस वेबसाइट के सामान्य संचालन या सुरक्षा में हस्तक्षेप करना या उसे विघटित करना।"
（4）利用技术手段恶意注册、刷单、作弊等；,"दुर्भावनापूर्ण तरीके से पंजीकरण करना, नकली ऑर्डर बनाना, या तकनीकी साधनों का उपयोग करके धोखाधड़ी करना।"
（5）其他违反法律法规或本条款的行为。,"कानून, विनियम या इन शर्तों के अन्य उल्लंघन।"
"3.3 如您违反上述规定，我们有权立即终止向您提供服务，并保留追究法律责任的权利。","3.3 उपर्युक्त प्रावधानों का उल्लंघन होने पर हम सेवा तुरंत समाप्त करने और कानूनी कार्रवाई का अधिकार रखते हैं।"
"4.1 本网站展示的商品信息由商家提供，我们不对商品信息的真实性、准确性、完整性负责。","4.1 इस वेबसाइट पर प्रदर्शित उत्पाद जानकारी व्यापारियों द्वारा दी जाती है; हम उसकी प्रामाणिकता, सटीकता और पूर्णता हेतु जिम्मेदार नहीं।"
"4.2 商品价格、库存等信息可能随时变动，以实际下单时的信息为准。","4.2 उत्पाद मूल्य और इन्वेंटरी जानकारी कभी भी बदल सकती है; ऑर्डर के समय वास्तविक जानकारी मान्य होगी।"
"4.3 您在下单时，应仔细核对商品信息、价格、数量等，确认无误后再提交订单。","4.3 ऑर्डर देते समय उत्पाद जानकारी, मूल्य, मात्रा आदि सावधानी से जाँचें; सही पुष्टि के बाद ही ऑर्डर जमा करें।"
"4.4 订单提交成功后，您应按照约定支付款项。如未在规定时间内支付，订单可能被自动取消。","4.4 ऑर्डर सफलतापूर्वक जमा होने के बाद सहमत राशि का भुगतान करें। निर्दिष्ट समय में भुगतान न होने पर ऑर्डर स्वतः रद्द हो सकता है।"
"5.1 本网站的所有内容，包括但不限于文字、图片、音频、视频、软件、程序、版面设计等，均受知识产权法律法规保护。","5.1 इस वेबसाइट की सभी सामग्री, जिसमें पाठ, छवियाँ, ऑडियो, वीडियो, सॉफ़्टवेयर, प्रोग्राम और लेआउट शामिल पर सीमित नहीं, बौद्धिक संपदा कानूनों और विनियमों द्वारा संरक्षित।"
"5.2 本网站的所有知识产权归我们或相关权利人所有，未经授权，任何人不得复制、传播、展示、镜像、上传、下载或以其他方式使用。","5.2 इस वेबसाइट के सभी बौद्धिक संपदा अधिकार हमारे या संबंधित अधिकारधारकों के हैं। बिना प्राधिकरण कोई प्रतिलिपि, वितरण, प्रदर्शन, मिरर, अपलोड, डाउनलोड या अन्य उपयोग नहीं कर सकता।"
"5.3 您在使用本网站服务时上传、发布的内容，您应保证拥有相应的知识产权或已获得合法授权。","5.3 इस वेबसाइट सेवा उपयोग में अपलोड/प्रकाशित किसी भी सामग्री हेतु आपके पास संगत बौद्धिक संपदा अधिकार या वैध प्राधिकरण होना सुनिश्चित करने की ज़िम्मेदारी आपकी है।"
"6.1 本网站不对因不可抗力、网络故障、系统维护等原因导致的服务中断或数据丢失承担责任。","6.1 यह वेबसाइट अप्रत्याशित घटनाओं (force majeure), नेटवर्क विफलता या सिस्टम रखरखाव से सेवा रुकावट या डेटा हानि हेतु उत्तरदायी नहीं।"
"6.2 本网站不对用户发布的信息的真实性、准确性、完整性负责，用户应自行判断并承担相应风险。","6.2 यह वेबसाइट उपयोगकर्ता-पोस्ट जानकारी की प्रामाणिकता, सटीकता या पूर्णता हेतु जिम्मेदार नहीं। उपयोगकर्ता स्वयं निर्णय लें और जोखिम वहन करें।"
"6.3 本网站不对第三方网站的内容、服务或链接负责，您访问第三方网站的风险由您自行承担。","6.3 यह वेबसाइट तृतीय-पक्ष साइटों की सामग्री, सेवाओं या लिंक हेतु जिम्मेदार नहीं। तृतीय-पक्ष साइट पहुँच का जोखिम आपका है।"
"7.1 因本条款引起的或与本条款有关的任何争议，双方应友好协商解决。","7.1 इन शर्तों से उत्पन्न या संबंधित किसी भी विवाद का समाधान पक्षों के बीच मैत्रीपूर्ण परामर्श से होगा।"
"7.2 如协商不成，任何一方均可向本网站所在地有管辖权的人民法院提起诉讼。","7.2 यदि समाधान न हो, कोई भी पक्ष इस वेबसाइट के स्थान पर क्षेत्राधिकार वाले जन न्यायालय में मुकदमा दायर कर सकता है।"
"8.1 本条款自发布之日起生效，并持续有效，直至被修订或终止。","8.1 ये शर्तें प्रकाशन तिथि से प्रभावी हैं और संशोधन या समाप्ति तक लागू रहती हैं।"
"8.2 如本条款的任何条款被认定为无效或不可执行，不影响其他条款的效力。","8.2 यदि इन शर्तों का कोई प्रावधान अमान्य या अप्रवर्तनीय माना जाता है, तो यह अन्य प्रावधानों की वैधता को प्रभावित नहीं करेगा।"
"8.3 我们保留对本条款的最终解释权，并有权根据法律法规和业务发展需要对本条款进行修订。","8.3 हम इन शर्तों की अंतिम व्याख्या का अधिकार सुरक्षित रखते हैं और कानून, विनियम तथा व्यावसायिक विकास आवश्यकताओं के अनुसार संशोधन का अधिकार रखते हैं।"
如对本条款有疑问，请先查阅帮助中心，或通过联系我们与支持团队沟通。,如对本条款有疑问，请先查阅帮助中心，或通过联系我们与支持团队沟通。
"Cookie 政策目录","कुकी नीति की विषय सूची"
"Cookie 政策正文","कुकी नीति का मुख्य भाग"
"一、什么是 Cookie？","1. कुकी क्या हैं?"
"二、我们如何使用 Cookie？","2. हम कुकी का उपयोग कैसे करते हैं?"
"三、我们使用的 Cookie 类型","3. हम जिन कुकी प्रकारों का उपयोग करते हैं"
"四、第三方 Cookie","4. तृतीय-पक्ष कुकी"
"五、您如何管理 Cookie？","5. कुकी कैसे प्रबंधित करें?"
"六、本站典型 Cookie 用途示例","6. इस साइट पर विशिष्ट कुकी उपयोग"
七、与隐私政策的关系,"7. गोपनीयता नीति से संबंध"
官方商城常见问题与客户服务,"आधिकारिक स्टोर FAQ और ग्राहक सेवा"
查找订单、配送、退换、支付与账户问题的自助指南。也可搜索关键词，或从下方主题快速进入。,"ऑर्डर, शिपिंग, रिटर्न, भुगतान और खाते की स्वयं-सेवा गाइड। कीवर्ड से खोजें, या नीचे दिए विषयों से जल्दी जाएँ।"
"FAQ 支持","FAQ सहायता"
快捷入口,"त्वरित लिंक"
搜索常见问题,"अक्सर पूछे जाने वाले प्रश्न खोजें"
搜索常见问题，例如：退货、运费、发票,"अक्सर पूछे जाने वाले प्रश्न खोजें, जैसे: रिटर्न, शिपिंग, इनवॉइस"
常见问题,"अक्सर पूछे जाने वाले प्रश्न"
前往联系我们页,"संपर्क पृष्ठ पर जाएँ"
隐私政策目录,"गोपनीयता नीति की विषय सूची"
隐私政策正文,"गोपनीयता नीति का मुख्य भाग"
一、信息收集,"1. हम जो जानकारी एकत्र करते हैं"
二、信息使用,"2. जानकारी का उपयोग कैसे करते हैं"
三、信息共享与披露,"3. साझाकरण और प्रकटीकरण"
四、信息存储与安全,"4. भंडारण और सुरक्षा"
五、您的权利,"5. आपके अधिकार"
六、未成年人保护,"6. नाबालिगों की सुरक्षा"
"七、Cookie 与同类技术","7. कुकी और समान तकनीकें"
八、第三方服务,"8. तृतीय-पक्ष सेवाएँ"
九、政策更新,"9. नीति अपडेट"
十、联系我们,"10. हमसे संपर्क करें"
退款政策目录,"रिफंड नीति की विषय सूची"
退款政策正文,"रिफंड नीति का मुख्य भाग"
一、退款条件,"1. रिफंड पात्रता"
二、不予退款的情况,"2. गैर-रिफंड योग्य मामले"
三、退款流程,"3. रिफंड प्रक्रिया"
四、退款方式与时效,"4. रिफंड विधि और समय"
五、运费与责任,"5. शिपिंग लागत और दायित्व"
六、特殊商品说明,"6. विशेष उत्पाद नोट्स"
七、联系我们,"7. हमसे संपर्क करें"
免责声明,अस्वीकरण
免责声明目录,"अस्वीकरण की विषय सूची"
免责声明正文,"अस्वीकरण का मुख्य भाग"
一、服务中断与数据丢失,"1. सेवा व्यवधान और डेटा हानि"
二、信息内容免责,"2. सामग्री अस्वीकरण"
三、交易风险免责,"3. लेनदेन जोखिम अस्वीकरण"
四、第三方服务免责,"4. तृतीय-पक्ष सेवा अस्वीकरण"
五、责任限制,"5. दायित्व की सीमा"
六、用户行为免责,"6. उपयोगकर्ता आचरण अस्वीकरण"
七、其他,"7. अन्य"
配送说明,"शिपिंग गाइड"
退换政策,"रिटर्न नीति"
"热门 FAQ 主题","लोकप्रिय FAQ विषय"
目录,"विषय सूची"
精选明制、宋制、唐制汉服与马面裙，服务日常、节庆与礼仪场景。,"चयनित मिंग, सॉन्ग और तांग हानफू तथा मामियान स्कर्ट—रोज़मर्रा, त्योहार और औपचारिक अवसरों के लिए।"
我们以形制为准绳、以织造为根基，把可穿的传统美学带给全球穿搭者。,"आकार और बुनाई को आधार बनाकर हम पहनने योग्य पारंपरिक सौंदर्य विश्वभर के ड्रेसर्स तक लाते हैं।"
明·宋·唐,"मिंग · सॉन्ग · तांग"
形制谱系,"आकार वंश"
马面裙,"मामियान स्कर्ट"
高频爆款,"सिग्नेचर बेस्टसेलर"
全球,वैश्विक
国际直邮,"अंतरराष्ट्रीय डायरेक्ट शिपिंग"
形制为本,"आकार सर्वप्रथम"
先辨明制、宋制、唐制与穿法，再谈款式与场景，让选购有据可依。,先辨明制、宋制、唐制与穿法，再谈款式与场景，让选购有据可依。
织艺可感,"अनुभूत शिल्प"
云锦、宋锦、妆花与苏绣不是标签堆砌，而是可看见、可触碰的材质表达。,云锦、宋锦、妆花与苏绣不是标签堆砌，而是可看见、可触碰的材质表达。
可穿日常,"रोज़ पहनने योग्य"
礼仪与出游兼顾：从入门襦裙到成套明制，覆盖通勤到节庆。,礼仪与出游兼顾：从入门襦裙到成套明制，覆盖通勤到节庆。
全球履约,"वैश्विक पूर्ति"
独立站多语言与跨境履约并行，让海外穿搭者也能安心下单。,独立站多语言与跨境履约并行，让海外穿搭者也能安心下单。
从形制科普起步，建立汉服入门选购标准。,从形制科普起步，建立汉服入门选购标准。
扩展马面裙、袄裙与配饰矩阵，覆盖更多日常场景。,扩展马面裙、袄裙与配饰矩阵，覆盖更多日常场景。
完善尺码、养护与退换指引，服务海外独立站顾客。,完善尺码、养护与退换指引，服务海外独立站顾客。
上线水墨中国风主题与国际化店面，打磨可上线的汉服商城体验。,上线水墨中国风主题与国际化店面，打磨可上线的汉服商城体验。
浏览汉服,"हानफू देखें"
我们的承诺,"हमारा वादा"
形制清晰、尺码可依、养护有指引——让每一次穿汉服都踏实从容。,"स्पष्ट आकार, भरोसेमंद साइज़ और देखभाल गाइड—हर बार हानफू पहनने में सहजता।"
品牌概览,"ब्रांड अवलोकन"
我们的故事,"हमारी कहानी"
从形制科普到可穿日常，我们把顾客对汉服的疑问，沉淀成更清晰的选购路径与更可靠的履约体验。,"आकार साक्षरता से पहनने योग्य रोज़ लुक तक—हम हानफू सवालों को स्पष्ट खरीदारी पथ बनाते हैं।"
为什么选择云裳,"क्यों यूनशांग"
好的汉服体验不靠运气：形制标注清楚、面料说明可信、尺码有据、物流可追踪。,好的汉服体验不靠运气：形制标注清楚、面料说明可信、尺码有据、物流可追踪。
团队围绕「可穿的传统美学」打磨每一个关键路径——从首页发现到订单完成。,团队围绕「可穿的传统美学」打磨每一个关键路径——从首页发现到订单完成。
我们的价值观,"हमारे मूल्य"
这些原则指导我们如何做形制选品、如何服务穿搭者，以及如何持续打磨独立站体验。,这些原则指导我们如何做形制选品、如何服务穿搭者，以及如何持续打磨独立站体验。
发展历程,"हमारी यात्रा"
关键节点记录我们如何把汉服从兴趣走进可上线的国际化商城。,关键节点记录我们如何把汉服从兴趣走进可上线的国际化商城。
准备好穿上第一套汉服了吗？,"अपने पहले हानफू सेट के लिए तैयार?"
从明制马面裙到唐风襦裙，挑选适合你的形制，或联系我们了解尺码与养护。,从明制马面裙到唐风襦裙，挑选适合你的形制，或联系我们了解尺码与养护。
前往帮助中心,"सहायता केंद्र पर जाएँ"
我们非常重视您的隐私保护。本隐私政策说明我们如何收集、使用、存储和保护您的个人信息。请仔细阅读，以了解我们对个人信息的处理方式。,我们非常重视您的隐私保护。本隐私政策说明我们如何收集、使用、存储和保护您的个人信息。请仔细阅读，以了解我们对个人信息的处理方式。
