阿里云域名,"Alibaba Cloud Domain"
"域名 %{1} 可用","Domain %{1} is available."
"Local domain %{1} is now covered by the shared %{2} wildcard certificate","Local domain %{1} is now covered by the shared %{2} wildcard certificate"
"Local domain %{1} skipped registrar purchase, but the shared %{2} wildcard certificate is not ready yet","Local domain %{1} skipped registrar purchase, but the shared %{2} wildcard certificate is not ready yet"
"Build finished with shared %{1} wildcard certificate","Build finished with shared %{1} wildcard certificate"
"Build finished in local simulation mode","Build finished in local simulation mode"
"Build finished with shared %{2} wildcard certificate: %{1}","Build finished with shared %{2} wildcard certificate: %{1}"
"Build finished in local simulation mode: %{1}","Build finished in local simulation mode: %{1}"
已根据描述设置站点名称,"Set site name based on description"
"正在检查 DNS 解析状态...","Checking DNS resolution status..."
"正在申请 HTTPS 证书...","Applying for HTTPS certificate..."
"HTTPS 证书申请成功","HTTPS certificate request successful"
证书申请失败，请稍后在证书管理中手动申请,"Certificate Application Failed, Please Apply Manually in Certificate Management Later"
建站完成,"Site building completed"
建站完成：%{1},"Site building completed: %{1}"
"本地测试账号：已生成流程联调域名 %{domain}","Local test account: Generated process integration domain %{domain}"
已生成域名建议；点击「确认并生成」时将检测可用性。,"Domain suggestions are ready; availability will be checked when you click Confirm and generate."
请先选择服务商账号。,"Please select a service provider account."
未找到可用域名，请尝试更换简报或偏好域名。,"No available domains found, please try a different newsletter or preferred domain."
"AI 本地推荐域名自动入池：%{domain}","AI local recommended domain names are automatically added to the pool: %{domain}"
证书管理：无记录（待申请）,"Certificate management: No records (pending application)"
证书管理：异常,"Certificate management: Error"
证书管理：已过期,"Certificate management: Expired"
证书管理：申请中,"Certificate management: Applying"
证书管理：有效,"Certificate management: Valid"
证书管理：待处理,"Certificate management: Pending"
Weline（本地）,"Weline (local)"
"本地开发与 E2E 用内置供应商；免对外支付，订单状态机与线上对齐。","Local Development & E2E: Use built-in provider; no external payments required, order state machine aligned with production."
编辑网站,"Edit Website"
新建站点,"New Site"
编辑,Edit
关闭,Close
新建域名,"New Domain"
描述,Description
"DNS 供应商/账户","DNS provider/account"
"选择 DNS 服务商及账户，用于解析与证书","Select DNS provider and account for resolution and certificates"
"CDN 供应商/账户","CDN provider/account"
"可选，如 Cloudflare 等","Optional, e.g., Cloudflare, etc."
HTTPS处理方式,"HTTPS processing method"
联系邮箱,"Contact email"
"支持 PEM/CRT/KEY/PFX/P12 上传，或直接粘贴文本","Supports uploading PEM/CRT/KEY/PFX/P12, or pasting text directly"
创建域名,"Create domain"
id属性不能为空,"The id attribute cannot be empty"
搜索域名...,"Search domain..."
点击选择域名（可多选）,"Click to select a domain (multiple selection allowed)."
请选择域名,"Select Domain"
加载中...,Loading...
清空,Clear
确定,Confirm
"点击选择多个域名，选中后点击确定。根域与 www 子域成对绑定：选其一将自动勾选另一（若列表中存在）。","Click to select multiple domains, then click OK after selection. Root domains and www subdomains are bound in pairs: selecting one will automatically select the other (if present in the list)."
点击选择多个域名，选中后点击确定,"Click to select multiple domains, then click OK after selection."
点击选择域名，选择后将自动填充相关字段,"Click to select domain. Related fields will be auto-filled."
如：www.example.com,"Example: www.example.com"
可选,Optional
默认不设置,"Default not set"
暂不处理,"Do Not Process"
自动申请证书,"Auto-apply for certificate"
手动导入证书,"Manually import certificate"
"可选，默认 admin@根域","Optional, default admin@root domain"
"PFX/P12 密码（可选）","PFX/P12 password (optional)"
可选：中间证书链,"Optional: intermediate certificate chain"
未找到匹配的域名,"No matching domain found"
加载失败,"Failed to load"
暂无可用域名，请先添加,"No domains available. Please add one first."
"已选择 %s 个域名","已选择 %s 个域名"
证书到期,"Certificate Expiration"
创建失败,"Creation failed"
域名已添加并已选,"Domain added and selected"
系统将自动完成解析与证书，可建站后网站即可访问。,"The system will automatically complete resolution and certificate provisioning. Once the site is ready, the website will be accessible."
搜索服务商...,"Search Service Provider..."
请选择服务商,"Please select a service provider"
未找到匹配服务商,"Matching service provider not found"
基本信息,"Basic information"
从域名池选择已就绪的域名（可多选）；选择后网站代码与网站名称将自动填充,"Select ready domains from the domain pool (multi-select allowed); after selection, the site code and site name will be auto-filled"
高级选项,"Advanced options"
网站代码,"Website Code"
请输入网站代码,"Please enter website code"
网站名称,"Website Name"
请输入网站名称,"Please enter website name"
网站URL,"Site URL"
请输入有效的URL,"Please enter a valid URL"
默认货币,"Default Currency"
请选择,"Please select"
不设置则从关联货币中选择第一个,"If not set, the first one will be selected from the associated currencies."
默认语言,"Default Language"
不设置则从关联语言中选择第一个,"If not set, the first one will be selected from the associated languages."
关联货币,"Associated Currency"
按住Ctrl或Cmd键可多选,"Hold Ctrl or Cmd to select multiple"
关联语言,"Associated Language"
取消,Cancel
Other,Other
"DNS 服务商","DNS service provider"
域名列表,"Domain list"
刷新服务器IP,"Refresh Server IP"
导入域名,"Import Domain"
批量转存域名池,"Batch transfer domain pool"
只转存解析到本服务器的域名，跳过IP不匹配的,"Only transfer domains resolved to this server, skip those with IP mismatch"
批量转存（检查IP）,"Batch Transfer (Check IP)"
"将选中域名的 @ 和 www 解析到本服务器公网IP","Resolve @ and www records of selected domains to this server's public IP"
批量解析到本地,"Batch Resolve to Local"
为选中域名批量添加DNS解析记录,"Add DNS resolution records in batches for selected domain names"
批量添加记录,"Batch add records"
将选中域名的DNS服务器切换到其他服务商,"Switch DNS servers of selected domains to another provider"
批量切换DNS,"Batch Change DNS"
批量检测解析,"Batch detection resolution"
"检测选中域名的 DNS 服务商","Detect DNS service provider for selected domains."
检测DNS,"Detecting DNS"
"批量设置选中域名的 DNS/CDN 管理账户","Batch set DNS/CDN management account for selected domains"
设置账户,"Set account"
"为根域名切换 DNS 服务账户，NS 切换后定时任务将把记录推送到新账户","Switch the DNS service account for the root domain name. After the NS switch, the scheduled task will push the records to the new account."
切换DNS账户,"Switch DNS Account"
"清理误同步的 DNS 服务商域名","Clean erroneously synced DNS provider domains"
清理DNS域名,"Clear DNS Domains"
删除选中的根域，其子域名与池记录一并删除,"Delete selected root domain, its subdomains and pool records will also be deleted"
批量删除,"Batch delete"
解析状态,"Parse Status"
指向本服务器,"Points to this server"
HTTPS状态,"HTTPS status"
即将过期,"About to Expire"
服务商,"Service provider"
操作,Actions
从域名商导入域名,"Import domains from domain registrar"
选择域名商账户,"Select Domain Registrar Account"
全选,"Select All"
隐藏已导入,"Hide Imported"
到期时间,"Expiration time"
本地状态,"Local Status"
导入解析模式,"Import parsing mode"
批量解析到本服务器,"Batch resolve to this server"
"导入后自动将域名的 @ 和 www 记录解析到本服务器公网IP，入池并创建自动解析任务","After import, automatically resolve the domain's @ and www records to this server's public IP, add to pool, and create auto-resolution tasks"
"保持各域名当前 DNS","Keep Current DNS for Each Domain"
"仅导入域名记录，不修改 DNS，不入池自动解析任务","Only import domain records, do not modify DNS, do not add to pool for automatic resolution tasks"
导入选中域名,"Import selected domain"
DNS记录管理,"DNS record management"
DNS服务商,"DNS service provider"
本服务器IP,"This Server IP"
同步记录,"Sync records"
添加记录,"Add Record"
类型,Type
主机记录,"host record"
记录值,"Record Value"
请选择域名查看DNS记录,"Select a domain to view DNS records"
自动解析到本服务器,"Auto Resolve to Local Server"
批量切换DNS服务器,"Batch Change DNS Servers"
"将选中域名的 Nameserver 切换到目标服务商。切换后域名将使用新的 DNS 服务商进行解析。","Switch Nameservers of selected domains to target provider. After switching, domains will use the new DNS provider for resolution."
切换方式,"Switch Mode"
选择账户（推荐）,"Select Account (Recommended)"
手动输入,"Manual Input"
选择目标账户,"Select Target Account"
选择已配置的域名商账户，系统将自动获取该账户的DNS服务器,"Select a configured registrar account, system will auto-fetch the DNS servers"
暂无可用的域名商账户，请先在「域名注册商账户」中添加并启用账户，或使用下方「手动输入」模式直接填写DNS服务器地址,"No domain provider accounts available. Please add and enable an account in ""Domain Registrar Accounts"" first, or use the ""Manual Input"" mode below to directly enter DNS server addresses."
选择DNS服务商,"Select DNS Provider"
"Nameserver 列表","Nameserver List"
"如：ns1.example.com,ns2.example.com","e.g.: ns1.example.com,ns2.example.com"
"多个 Nameserver 用英文逗号分隔","Multiple Nameservers separated by commas"
确认切换,"Confirm Switch"
批量添加DNS记录,"Batch add DNS records"
为选中的域名批量添加相同的DNS解析记录。,"Add the same DNS resolution records in batches to the selected domain names."
使用本服务器公网IP,"Use the public IP of this server"
记录类型,"Record Type"
"如：@,www 或 @,www,* 多个用逗号分隔","Example: @,www or @,www,* (separate multiple entries with commas)"
支持多个主机记录，用英文逗号分隔,"Supports multiple host records, separated by commas"
"如：192.168.1.1 或 example.com","Example: 192.168.1.1 or example.com"
"TTL (秒)","TTL (seconds)"
确认添加,"Confirm Add"
"切换 DNS 服务账户","Switch DNS Service Account"
"将把当前 DNS 记录同步到本地，把域名的 NS 切换到目标账户；切换成功后定时任务会把记录推送到新 DNS 账户。若已是该账户则跳过。","Will sync the current DNS records locally and switch the domain's NS to the target account; after switching, the scheduled task will push the records to the new DNS account. If it is already this account, it will be skipped."
选择供应商,"Select Supplier"
选择账户,"Select Account"
正在切换…,Switching...
批量设置账户,"Batch set account"
"为选中域名设置 DNS/CDN 管理账户。留空表示不修改该项。","Set up a DNS/CDN management account for the selected domain name. Leave it blank to not modify this item."
"DNS 管理账户","DNS management account"
"用于管理 DNS 解析记录的账户","Account used to manage DNS resolution records"
"CDN 管理账户","CDN management account"
"CDN 服务商账户（如 Cloudflare）","CDN Service provider account (such as Cloudflare)"
确认设置,"Confirm Settings"
"DNS 账户","DNS account"
"CDN 账户","CDN account"
"HTTPS 处理方式","HTTPS processing method"
"拉取域名：确认 DNS / CDN 管理账户","Fetch domains: confirm DNS / CDN management account"
"请选择本站已配置的、能管理该域名解析的账户。判断是否指向本站时，优先通过服务商 API 读取 A/AAAA 的 content（源站 IP），避免 CDN 边缘 IP 误判。至少选择 DNS 或 CDN 中的一项；Cloudflare 等可同时选同一账户。","Please select a configured account on this site that can manage the domain's DNS resolution. When determining if it points to this site, prioritize reading the A/AAAA record content (origin server IP) via the service provider's API to avoid misjudgment by CDN edge IPs. Select at least one of DNS or CDN; for Cloudflare and similar, the same account can be selected for both."
"请至少选择 DNS 或 CDN 中的一项","Please select at least one of DNS or CDN"
拉取后的解析策略,"Resolution strategy after fetching"
"尝试在注册商处自动添加 A 记录指向本服务器","Attempting to automatically add an A record pointing to this server at the registrar"
"保持现有解析，不自动改记录（适合已配好 DNS/CDN）","Keep Existing Resolution, Do Not Auto-Modify Records (Suitable for Already Configured DNS/CDN)"
确认拉取,"Confirm pull"
不指定,"Not specified"
导入失败,"Import Failed"
部分导入失败,"Some imports failed"
导入成功,"Import Successful"
个域名,"domain names"
请先添加域名商账户,"Please add a domain registrar account first"
网络请求失败,"Network request failed"
部分供应商获取域名失败,"Some providers failed to retrieve domain names"
未知账户,"Unknown account"
无法获取域名，请检查上方的错误信息,"Unable to get domain name, please check the error message above"
域名商账户下暂无域名,"No domains under this registrar account"
以下域名尚未拉取到本地，请选择域名后点击「导入选中」按钮,"The following domains have not been pulled locally. Please select the domains and click the ""Import Selected"" button"
导入选中,"Import selected"
已拉取,Pulled
未拉取,"Not pulled"
导入,Import
共,Total
个远程域名,"remote domain names"
当前筛选条件下暂无已拉取的域名,"No domains have been pulled under the current filter conditions."
请切换筛选条件为「全部」，从线上选择域名拉取到本地,"Please switch the filter condition to ""All"" to pull domains from online to local"
查看全部状态,"View all statuses"
本地暂无已拉取的域名，正在从域名商获取...,"No locally pulled domains yet, fetching from domain provider..."
暂无域名数据,"No domain data"
错误,Error
无,None
本机,"Local Machine"
未就绪,"Not ready"
未建站,"No website built"
检测于,"Detected at"
连通性,Connectivity
注册,Register
转存域名池,"Dump domain pool"
DNS管理,"DNS management"
检测解析,"Check resolution."
删除,Delete
"共 0 条本地域名","0 local domains"
条,items
第,No.
页,Page
每页,"Per page"
本页,"This page"
"仅 1 页","Single page"
正在获取远程域名列表...,"Fetching remote domain list..."
获取失败,"Fetch failed"
所有域名已导入,"All domains have been imported"
没有域名,"No domains"
已导入,Imported
未导入,"Not imported"
个,indivual
显示全部,"Show All"
正在导入域名...,"Importing domain names..."
（自动解析任务已创建）,"(Auto resolve task created)"
正在检测解析...,"Detecting resolution..."
检测完成,"Detection complete."
检测失败,"Detection failed."
正在批量检测解析...,"Batch checking resolution..."
获取DNS记录失败,"Failed to get DNS records"
暂无DNS记录,"No DNS Records"
待同步,"To sync"
异常,Exception
正在同步DNS记录...,"Syncing DNS records..."
同步成功,"Sync succeeded"
同步失败,"Sync failed"
添加成功,"Add Success"
确定删除此DNS记录吗？,"Are you sure you want to delete this DNS record?"
确认删除,"Confirm Delete"
删除失败,"Delete failed"
"确定要删除根域「%{1}」吗？该根域下的所有子域名（域名池记录）和 DNS 解析记录将一并删除，且不可恢复。","Are you sure you want to delete the root domain ""%{1}""? All subdomains (domain pool records) and DNS resolution records under this root domain will be deleted together and cannot be recovered."
未找到确认弹窗组件，操作已取消,"Confirmation dialog component not found, operation cancelled"
"确定要删除选中的 %{1} 个根域吗？每个根域下的所有子域名（域名池记录）和 DNS 解析记录将一并删除，且不可恢复。","Are you sure you want to delete the selected %{1} root domains? All subdomains (domain pool records) and DNS resolution records under each root domain will be deleted together and cannot be recovered."
正在自动解析到本服务器...,"Auto-resolving to this server..."
解析成功,"Parse Successful"
解析失败,"Resolve failed"
正在刷新服务器IP...,"Refreshing server IP..."
刷新失败,"Refresh Failed"
转存到域名池,"Dump to domain pool"
"输入子域名前缀（多个用逗号分隔，默认 @,www）","Enter subdomain prefixes (multiple separated by commas, default @,www)"
正在转存到域名池...,"Transferring to domain pool..."
转存成功,"Dump succeeded"
转存失败,"Transfer failed"
批量转存到域名池,"Batch transfer to domain pool"
正在批量转存到域名池...,"Batch transferring to domain pool..."
批量转存成功,"Batch transfer succeeded"
批量转存失败,"Batch transfer failed"
确定批量转存,"Confirm batch transfer"
个域名？,"A domain name?"
注意：只有解析到本服务器IP的域名才会被转存，其他将跳过。,"Note: Only domains resolved to this server's IP will be transferred, others will be skipped."
确认转存,"Confirm Transfer"
正在批量转存（检查IP）...,"Batch transferring (checking IP)..."
批量转存完成,"Batch transfer completed"
跳过的域名（IP不匹配）,"Skipped domains (IP mismatch)"
确定将,"Confirm resolving"
个域名解析到本服务器？,"domains to this server?"
"将为每个域名添加 @ 和 www 的A记录指向本服务器公网IP。","A records for @ and www will be added pointing to this server's public IP."
确认解析,"Confirm Resolve"
正在批量解析到本地服务器...,"Batch resolving to local server..."
解析完成,"Resolve completed"
请选择要切换DNS的域名,"Please select domains to change DNS"
已选择,Chosen
"-- 加载中... --","-- Loading... --"
"-- 暂无可用账户 --","-- No account available --"
"-- 请选择目标账户 --","-- Select Target Account --"
"-- 加载失败 --","-- Load Failed --"
正在获取DNS服务器...,"Fetching DNS servers..."
"Cloudflare 通常会为每个接入的根域分配独立 Nameserver，请以控制台实际显示为准","Cloudflare usually allocates an independent Nameserver for each accessed root zone, please refer to the actual console display"
目标DNS,"Target DNS"
该账户暂无可用DNS服务器,"No DNS servers available for this account"
正在批量切换DNS服务器...,"Batch changing DNS servers..."
切换完成,"Switch Complete"
切换错误,"Switch Error"
请选择DNS服务商,"Please select a DNS provider"
请输入自定义Nameserver,"Please enter custom Nameserver"
请先选择要添加DNS记录的域名,"Please select the domain to add a DNS record to first"
请输入记录值,"Please enter the record value"
正在批量添加DNS记录...,"Batch adding DNS records..."
添加完成,"Add Complete"
添加错误,"Add Error"
正在创建域名...,"Creating domain..."
创建成功,"Created successfully"
"请先选择要切换 DNS 的根域名","Please select the root domain to switch DNS for first"
个根域名,"root domain name"
加载账户列表失败,"Failed to load account list"
"-- 请选择账户 --","-- Please select the account --"
请先选择要切换的根域名,"Please select the root domain to switch first"
切换异常,"Switch Exception"
"SSE 连接中断","SSE connection lost"
请先选择要设置的域名,"Please select the domain to set first"
正在设置账户...,"Setting up account..."
设置成功,"Setting successful"
设置失败,"Setting failed"
"正在检测 DNS 服务商...","Detecting DNS provider..."
"确定清理所有 DNS 服务商（如 Cloudflare）下误同步的域名？","Are you sure you want to clean up all domains incorrectly synced under DNS providers (e.g., Cloudflare)?"
"这些域名不属于 DNS 服务商，只是托管在那里。清理后不会影响远程数据。","These domains do not belong to the DNS provider; they are only hosted there. Cleaning them will not affect remote data."
"清理 DNS 服务商域名","Clear DNS Provider Domains"
确认清理,"Confirm Cleanup"
"正在清理 DNS 服务商域名...","Cleaning DNS provider domains..."
清理完成,"Cleanup Complete"
已清理的账户,"Cleaned accounts"
清理失败,"Cleanup Failed"
鍔犺浇璐︽埛鍒楄〃澶辫触,"Failed to Load Account List"
清除（使用注册商账户）,"Clear (using registrar account)"
清除,Clear
域名池,"Domain Pool"
"共 %{1} 条","Total %{1} Entries"
清理含非法字符的误同步池记录,"Remove pool rows with invalid chars (sync errors)"
清理误同步池记录,"Clean invalid pool sync rows"
删除根域@未指向本机IP的A/AAAA，并清空该根下域名池,"Delete apex A/AAAA not pointing to this server; clear pool under root"
清理错误解析并移出池,"Fix wrong apex DNS and remove from pool"
cron未安装，无法自动检查域名状态，请点击查看安装指南,"cron is not installed and cannot automatically check the domain name status. Please click to view the installation guide."
"域名池中的域名需通过定时任务定期检测解析状态、HTTPS 与建站就绪。请按以下步骤安装系统定时任务：","Domains in the domain pool require periodic scheduled tasks to check resolution status, HTTPS, and website readiness. Please install the system scheduled tasks as follows:"
在项目根目录执行命令：,"Run the command in the project root directory:"
"Linux / macOS","Linux / macOS"
"命令会在 crontab 中添加每分钟执行的任务，自动运行所有定时任务（含域名池解析检测）。","The command will add a task to crontab that runs every minute, automatically executing all scheduled tasks (including domain pool resolution checks)."
Windows,Windows
命令会创建系统计划任务。若遇到权限问题，请以管理员身份运行，或在本地安全策略中赋予当前用户「作为批处理作业登录」权限。,"The command will create a system scheduled task. If you encounter permission issues, please run as administrator, or grant the current user the ""Log on as a batch job"" permission in the local security policy."
安装完成后刷新本页面，将不再显示此提示。,"After installation is complete, refresh this page and this prompt will no longer appear."
"第 %{p} / %{t} 页，每页 %{n} 条，合计 %{total} 条","Page %{p} of %{t}, %{n} per page, %{total} total"
暂无数据,"No data"
流转,Transfer
域名池暂无数据,"No data in domain pool"
"请先在「域名列表」中转存到域名池，或执行 DNS 查询/解析自动入池","Please first transfer to the domain pool in the ""Domain List"", or perform a DNS query/resolution to automatically add to the pool"
解析中,Parsing
可用,Available
时间线,Timeline
页，每页,"pages · per page"
条，合计,"items · total"
"共 1 页","1 page"
确认,Confirm
试运行,"Trial run"
开始试运行,"Run dry run"
试运行已完成。是否正式执行删除？此操作不可撤销。,"Dry run done. Execute for real? This cannot be undone."
正式执行？,"Execute for real?"
"将列出含 [] 的非法池记录（不删除）。继续？","List invalid pool rows (dry run). Continue?"
"将检查根域 @ 的 A/AAAA 是否指向本机公网（橙云代理不删）。继续试运行？","Dry-run: check apex A/AAAA vs server IP (CF proxied skipped). Continue?"
暂无记录,"No records"
流转记录,"Transfer Records"
域名服务,"Domain Service"
后台,Backend
域名商管理,"Registrar Management"
域名购买,"Domain Purchase"
其他,Other
批量购买域名,"Bulk Domain Purchase"
选择域名商账号,"Select Registrar Account"
域名列表（一行一个）,"Domain list (one per line)"
"example.com\nmysite.net\nshop.org","example.com\nmysite.net\nshop.org"
每行一个域名，支持批量输入多个域名。,"One domain per line. Supports bulk input."
检查可用性,"Check Availability"
"购买后自动将域名的 @ 和 www 记录解析到本服务器公网IP，通过Cron任务在域名可用后自动执行","Automatically resolve the @ and www records to this server's public IP after purchase, executed by Cron task when the domain becomes available"
"子域名（逗号分隔，默认 @,www）","Subdomains (comma-separated, default @,www)"
购买后入池并自动解析的子域名列表,"List of subdomains to be pooled and automatically resolved after purchase"
检查结果,Results
"请在左侧输入域名并点击""检查可用性""。","Enter a domain on the left and click ""Check Availability""."
"0 个可用域名","0 available domains"
批量购买,"Bulk Purchase"
购买记录,"Purchase History"
购买完成后会在此处显示记录。,"Purchase records will be shown here after completion."
确认购买后，系统会按所选策略处理解析与后续状态跟踪。,"After confirming the purchase, the system will handle resolution and subsequent status tracking according to the selected policy."
"DNS/CDN 切换不会在购买后立即执行：域名可能仍在注册中。注册完成后将由系统自动处理，无需您手动操作。","DNS/CDN switching will not be performed immediately after purchase: the domain name may still be registered. After the registration is completed, it will be processed automatically by the system without manual operation on your part."
"Gname 模板 ID","Gname template ID"
"可在账号凭据中配置 default_template_id；此处可覆盖","default_template_id can be configured in account credentials; this can be overridden here."
"注册联系人（GoDaddy / AWS Route53 / 阿里云）","Registration Contact (GoDaddy / AWS Route53 / Alibaba Cloud)"
名,Name
姓,"Last Name"
电话,Phone
或,or
地址,Address
城市,City
州/省,State/Province
美国/加拿大必填,"US/Canada required"
邮编,"Postal code"
国家代码,"Country code"
组织（可选）,"Organization (optional)"
"开启 WHOIS 隐私保护（若注册商支持）","Enable WHOIS privacy protection (if supported by the registrar)"
阿里云：提交后为待支付任务，需在阿里云控制台付款后域名才生效。,"Alibaba Cloud: After submission, the task is pending payment. The domain will only take effect after payment is made in the Alibaba Cloud console."
"DNS 配置","DNS configuration"
跟随当前购买账号,"Follow current purchase account"
指定供应商账户,"Specify vendor account"
"DNS 子账户","DNS sub-account"
"请先选择 DNS 服务商","Please select a DNS provider first"
"ns1.example.com, ns2.example.com","ns1.example.com, ns2.example.com"
"CDN 配置","CDN Configuration"
"暂不配置 CDN","Do Not Configure CDN"
"CDN 服务商","CDN service provider"
"CDN 子账户","CDN subaccount"
"请先选择 CDN 服务商","Please select a CDN provider first"
"默认会解析 @ 和 www，并持续检查域名状态。","By default, @ and www will be resolved, and the domain status will be continuously checked."
自动解析子域名,"Auto-resolve subdomain"
"@, www","@, www"
启动全流程状态跟踪,"Start full-process status tracking"
"购买后自动跟踪购买、DNS、验证、HTTPS 等步骤。","Automatically track purchase, DNS, verification, HTTPS, and other steps after purchase."
确认购买,"Confirm Purchase"
请先选择服务商,"Please select a service provider first"
请选择子账户,"Select a sub-account"
"请选择 DNS 服务商和对应子账户","Please select the DNS provider and corresponding sub-account"
"请选择 CDN 服务商和对应子账户","Please select the CDN provider and corresponding sub-account"
"请填写完整注册联系人（标 * 项）","Fill in the complete registrant contact (items marked with *)."
美国/加拿大注册需填写州/省,"US/Canada registration requires state/province"
请先选择域名商账号,"Please select a registrar account first"
检查失败,"Check failed"
价格,Price
年限,"Years of Experience"
绑定站点,"Bind site"
不绑定,"No binding"
自动新建站点,"Auto-create site"
个可用域名,"available domains"
没有可用的域名可以购买,"No available domains to purchase"
正在提交购买请求...,"Submitting purchase request..."
购买请求已提交,"Purchase request submitted"
请前往域名状态页搜索当前根域名查看进度。,"Please go to the domain status page and search for the current root domain to check the progress."
"%{count} 个域名购买成功，但未成功创建生命周期跟踪订单，请确认 Weline_Websites 已启用且一站式配置可用，或前往域名状态页使用「补建生命周期订单」补救。","%{count} domain names were purchased successfully, but the lifecycle tracking order was not successfully created. Please confirm that Weline_Websites is enabled and the one-stop configuration is available, or go to the domain name status page to use the ""Replenish Lifecycle Order"" remedy."
订单号,"Order No."
数量,Count
时间,Time
域名商账号管理,"Registrar Account Management"
添加账号,"Add Account"
"暂无域名商账号，请点击""添加账号""配置域名服务商。","No domain provider account. Please click ""Add Account"" to configure a domain service provider."
渠道,Provider
创建时间,"Created At"
禁用,Disabled
测试连接,"Test Connection"
域名商账号配置,"Registrar Account Configuration"
域名商渠道,"Registrar Provider"
请选择域名商,"Select a registrar"
如：主账号、生产环境,"e.g. Primary Account, Production"
启用,Enable
保存,Save
添加域名商账号,"Add Registrar Account"
编辑域名商账号,"Edit Registrar Account"
（不修改请留空）,"(Leave blank if no changes)"
（留空不修改）,"(Leave blank to keep unchanged)"
域名购买所需权限（批量购买前请核对）,"Permissions required for domain purchase (verify before bulk buy)"
配置获取指南,"Configuration acquisition guide"
请填写必填字段,"Fill in required fields."
保存失败,"Save failed"
删除后无法恢复，确定要删除此账号吗？,"This action cannot be undone. Are you sure you want to delete this account?"
确定删除,"Confirm deletion"
正在测试连接...,"Testing connection..."
连接失败,"Connection failed"
测试失败,"Test failed"
可由选择域名自动生成（域名转下划线），可修改,"Auto-generated from first selected domain (dots to underscores)"
网站子路径,"Site Subpath"
可选；留空表示直接使用域名根路径，填写后会应用到当前选择的所有域名。,"Optional; leave blank to use the domain root path directly; if filled in, it will apply to all currently selected domains."
选择域名,"Select Domain"
从域名池选择已就绪的域名（可多选）；选择后网站代码将自动填充，子路径由上方统一控制。,"Select ready domains from the domain pool (multi-select allowed); after selection, the site code will be auto-filled, and the sub-path is controlled uniformly from above."
默认时区,"Default Time Zone"
搜索时区...,"Search Timezone..."
输入关键词搜索时区,"Enter keywords to search time zone"
返回,Back
"业务范围 (Scope)",Scope
如：page_builder、catalog,"Example: page_builder, catalog"
用于标识站点的业务来源，留空表示通用站点。由系统自动设置。,"Used to identify the business source of the site; leave blank for a general site. Set automatically by the system."
"已选择 %{1} 个域名","%{1} domains selected"
网站管理,"Website management"
使用说明,Instructions
网站,Website
代表一个独立站点，可配置多个域名、语言与货币,"Represents an independent site, can configure multiple domains, languages, and currencies"
关联域名,"Associated Domain"
一个网站可绑定多个域名，主域名用于默认访问,"A website can be bound to multiple domain names, and the main domain name is used for default access."
编辑/删除,Edit/Delete
在操作列中可编辑网站或删除（请谨慎操作）,"In the action column, you can edit the website or delete it (please proceed with caution)"
网站列表,"Site List"
搜索,Search
搜索名称、代码或URL,"Search name, code, or URL"
正在搜索...,Searching...
服务器返回的不是有效的JSON数据,"Server did not return valid JSON data"
搜索失败,"Search Failed"
搜索出错，请刷新页面重试,"Search error, please refresh the page and try again"
站点,Site
访问入口,"Access entry"
"语言 / 货币","Language / Currency"
暂无网站数据,"No website data"
未生成访问地址,"No access URL generated"
主,host
货币,Currency
语言,Language
访问,Visit
默认,Default
访问网站,"Visit Website"
您确定要删除此网站吗？,"Are you sure you want to delete this site?"
网站备份,"Site Backup"
提示,Prompt
网站备份功能正在开发中，敬请期待。,"Site backup feature is under development, please stay tuned."
创建备份,"Create backup"
选择网站,"Select Website"
请选择网站,"Please select a website"
备份类型,"Backup type"
完整备份,"Full Backup"
仅数据库,"Database only"
仅文件,"File only"
备份列表,"Backup list"
备份文件,"Backup file"
大小,Size
下载,download
暂无备份文件,"No backup files"
网站维护模式,"Website maintenance mode"
开启维护模式后，前台将显示维护页面，但后台仍可正常访问。,"After enabling maintenance mode, the frontend will display a maintenance page, but the backend will remain accessible."
网站ID,"Site ID"
维护模式,"Maintenance mode"
暂无网站,"No websites"
维护中,"Under maintenance"
关闭维护模式,"Close maintenance mode"
开启维护模式,"Enable Maintenance Mode"
一站式配置订单,"One-stop configuration order"
配置订单,"Configure order"
搜索域名,"Search Domain"
重置,Reset
订单ID,"Order ID"
当前步骤,"Current step"
错误信息,"Error Message"
"共 %{total} 条","Total %{total} Entries"
"先告诉 AI 你想做什么站，它会按 3 个阶段给出推荐。大多数时候，你只需要做几次确认。","First, tell the AI what kind of site you want to build, and it will provide recommendations in 3 phases. Most of the time, you only need to confirm a few times."
"AI 推荐页面方案","AI recommended page solution"
预览后完成,"Completed after preview"
当前运行在本地演示模式，域名购买、解析和证书会用假数据模拟，但流程和交互保持一致。,"Currently running in local demo mode. Domain purchases, resolution, and certificates will be simulated with fake data, but the flow and interaction remain consistent."
更像对话，不像配置台,"More like a conversation, less like a configuration console"
"只要先说清楚网站要做什么，AI 就会把域名、页面和上线顺序推荐出来。","As long as you first explain what the website is for, AI will recommend the domain, pages, and launch order."
"如果你不确定选哪个流程，先从当前工作台开始。需要精修时，再切到对应 provider 的扩展能力，例如 PageBuilder 的 styles 模板流。","If you are unsure which workflow to choose, start with the current workbench. When fine-tuning is needed, switch to the corresponding provider's extended capabilities, such as PageBuilder's styles template flow."
直接开始,"Start directly"
"先看 Provider 流程","First, check the Provider process"
